,Epochs,ins_Loss,type_loss,pair_Loss
0,0,19.64719384908676,3.499372720718384,413.43717861175537
1,1,19.161824703216553,3.493131697177887,296.21119689941406
2,2,18.627463340759277,3.4148417115211487,125.9720568060875
3,3,18.47046935558319,3.3651122450828552,15.800140544772148
4,4,18.087236762046814,3.3198837637901306,8.17763514816761
5,5,17.825574040412903,3.2715178728103638,7.359779268503189
6,6,17.592230081558228,3.240876853466034,7.037374399602413
7,7,17.214350938796997,3.2033965587615967,6.25342520326376
8,8,16.851663172245026,3.1770179271698,6.192302480340004
9,9,16.409481167793274,3.1455612778663635,6.400381952524185
10,10,15.930480480194092,3.1153101921081543,5.97384362667799
11,11,15.487874388694763,3.0978922247886658,6.379275552928448
12,12,14.99971354007721,3.0780752301216125,5.803407154977322
13,13,14.494031995534897,3.058186888694763,5.833474911749363
14,14,14.047647416591644,3.0407933592796326,6.012772336602211
15,15,13.623853296041489,3.017097294330597,6.276362031698227
16,16,13.17834609746933,2.9989020228385925,6.097944155335426
17,17,12.788588970899582,2.981301248073578,6.121023252606392
18,18,12.373811930418015,2.9704777002334595,5.8822890147566795
19,19,12.012613296508789,2.936867833137512,5.88632645457983
20,20,11.728909015655518,2.9255024790763855,6.140161529183388
21,21,11.412618964910507,2.9256097078323364,6.088665090501308
22,22,11.113271832466125,2.907841384410858,5.919326741248369
23,23,10.848767787218094,2.8694685101509094,6.175876043736935
24,24,10.5768623650074,2.8452702462673187,6.083985924720764
25,25,10.369190007448196,2.836942970752716,5.949918899685144
26,26,10.162272244691849,2.816991537809372,6.1788807436823845
27,27,9.978697896003723,2.796974092721939,5.533177129924297
28,28,9.773531556129456,2.786341428756714,5.949833124876022
29,29,9.569697350263596,2.7592592239379883,5.284076206386089
30,30,9.43095913529396,2.740386128425598,5.693912614136934
31,31,9.316235721111298,2.710951268672943,5.7444418258965015
32,32,9.135348439216614,2.70793080329895,5.868728347122669
33,33,9.008133381605148,2.6701713502407074,5.876436829566956
34,34,8.921122670173645,2.6662902235984802,5.895199436694384
35,35,8.779914647340775,2.636734575033188,5.9236719235777855
36,36,8.64221677184105,2.612922817468643,5.7991218864917755
37,37,8.537175238132477,2.588330566883087,5.8008087277412415
38,38,8.435443788766861,2.5662244260311127,5.730593450367451
39,39,8.345096468925476,2.554551064968109,5.854802943766117
40,40,8.223408311605453,2.5239335000514984,5.571955747902393
41,41,8.152228713035583,2.5093533992767334,5.559545461088419
42,42,8.093469440937042,2.4901731610298157,5.648165266960859
43,43,8.003952831029892,2.470087468624115,5.603788748383522
44,44,7.933406114578247,2.4587843120098114,5.792070362716913
45,45,7.836574286222458,2.436944305896759,6.138059984892607
46,46,7.759199678897858,2.415593922138214,6.13105895370245
47,47,7.709638595581055,2.4126738905906677,5.497582070529461
48,48,7.640928328037262,2.3846982419490814,5.668465621769428
49,49,7.562568694353104,2.362561285495758,5.677507117390633
50,50,7.5102119743824005,2.345408797264099,5.4704398438334465
51,51,7.440554887056351,2.3278161883354187,5.404202803969383
52,52,7.353592276573181,2.3058124482631683,5.635939326137304
53,53,7.338383227586746,2.289292871952057,5.632930058985949
54,54,7.274693131446838,2.2782920598983765,5.934166215360165
55,55,7.226516991853714,2.2670082449913025,5.728540614247322
56,56,7.162038147449493,2.219786584377289,5.619407556951046
57,57,7.108151495456696,2.2497665882110596,5.554490651935339
58,58,7.048971280455589,2.22077614068985,5.608079016208649
59,59,7.004693418741226,2.199970245361328,5.516001477837563
60,60,6.969297230243683,2.179476350545883,5.443668495863676
61,61,6.886982128024101,2.1757869720458984,5.502948559820652
62,62,6.869817212224007,2.147207885980606,5.638161063194275
63,63,6.799655899405479,2.1666241586208344,5.7504492327570915
64,64,6.761533141136169,2.1209853291511536,5.365479227155447
65,65,6.741507425904274,2.1056360006332397,5.33851745724678
66,66,6.6623136550188065,2.099823623895645,5.443079710006714
67,67,6.645804852247238,2.0800702571868896,5.798778750002384
68,68,6.616941511631012,2.069753974676132,5.6327711045742035
69,69,6.532736241817474,2.069445848464966,5.366706937551498
70,70,6.507815882563591,2.0454968214035034,5.563540384173393
71,71,6.475576937198639,2.0410612523555756,5.561294659972191
72,72,6.472246140241623,2.0625706911087036,5.659940276294947
73,73,6.4104486256837845,2.014871209859848,5.658908013254404
74,74,6.38269330561161,2.0089682042598724,5.324779167771339
75,75,6.338488280773163,1.9901964664459229,5.290372282266617
76,76,6.306751042604446,1.9752634465694427,5.386663284152746
77,77,6.267606019973755,1.9927173554897308,5.487149987369776
78,78,6.243397563695908,1.9448738098144531,5.7112957537174225
79,79,6.210947081446648,1.9827220141887665,5.373777229338884
80,80,6.156243279576302,1.9632426500320435,5.152638383209705
81,81,6.117707744240761,1.9349343180656433,5.292912222445011
82,82,6.075765371322632,1.9400954842567444,5.432268846780062
83,83,6.0792765617370605,1.9091151654720306,5.68949718400836
84,84,6.037855580449104,1.8996252715587616,5.8325513154268265
85,85,6.002868667244911,1.908105581998825,5.28795250877738
86,86,6.0138788521289825,1.9068157076835632,4.9338780380785465
87,87,5.957177236676216,1.9050092697143555,5.283140651881695
88,88,5.93520125746727,1.8943923115730286,5.189455445855856
89,89,5.876569300889969,1.8759921789169312,5.562179863452911
90,90,5.901228129863739,1.8794657289981842,5.014267235994339
91,91,5.818510666489601,1.814499855041504,5.454329185187817
92,92,5.8111100643873215,1.8197501003742218,5.070514537394047
93,93,5.799273267388344,1.8384634256362915,5.112845029681921
94,94,5.782059490680695,1.8260557651519775,5.494773350656033
95,95,5.7309282422065735,1.8141329884529114,5.342828094959259
96,96,5.736327797174454,1.8018525540828705,5.327443838119507
97,97,5.707573816180229,1.8283304870128632,5.208908785134554
98,98,5.639973700046539,1.791059672832489,5.284899290651083
99,99,5.65982024371624,1.7934378683567047,5.2858555763959885
100,100,5.622014626860619,1.791240245103836,4.994250543415546
101,101,5.576581254601479,1.8150893449783325,5.3479641899466515
102,102,5.567244127392769,1.8040254712104797,5.213441073894501
103,103,5.564362421631813,1.7659160494804382,5.4181864336133
104,104,5.514501377940178,1.7217686921358109,5.32953992113471
105,105,5.500805169343948,1.7531648874282837,5.4384725876152515
106,106,5.516805991530418,1.7263585478067398,5.423348445445299
107,107,5.464933931827545,1.793370634317398,4.787083208560944
108,108,5.47849440574646,1.8173134922981262,5.221204340457916
109,109,5.393252462148666,1.736881285905838,5.216464728116989
110,110,5.4077513217926025,1.7586266100406647,5.177651010453701
111,111,5.378141850233078,1.7900633215904236,5.202901169657707
112,112,5.370381727814674,1.7175062447786331,5.246196031570435
113,113,5.34192219376564,1.7354307770729065,5.196825958788395
114,114,5.3254296481609344,1.7273924499750137,5.238630976527929
115,115,5.312667891383171,1.7013431787490845,5.123922806233168
116,116,5.273713201284409,1.712270975112915,5.226646833121777
117,117,5.26724049448967,1.6812718361616135,5.359741270542145
118,118,5.248240992426872,1.6815332770347595,5.180454775691032
119,119,5.234808191657066,1.6936204135417938,5.4524698369205
120,120,5.226396903395653,1.655614584684372,5.30347415804863
121,121,5.207661896944046,1.7336233258247375,4.925385370850563
122,122,5.182190522551537,1.6726544797420502,5.0259083583951
123,123,5.158572658896446,1.6891111135482788,5.1322439052164555
124,124,5.14152766764164,1.698859617114067,5.135675817728043
125,125,5.133346989750862,1.6704784631729126,5.221013389527798
126,126,5.115698024630547,1.7337412238121033,4.907950676977634
127,127,5.111024379730225,1.6743181645870209,4.994514252990484
128,128,5.102928206324577,1.7242338508367538,4.809061732143164
129,129,5.064769819378853,1.6966627538204193,5.012997634708881
130,130,5.032268702983856,1.6666931807994843,4.732288982719183
131,131,5.032116949558258,1.7125963270664215,5.0597963482141495
132,132,5.0403177589178085,1.6444594711065292,4.900257557630539
133,133,5.013679593801498,1.6919457614421844,5.093368500471115
134,134,4.985455542802811,1.6981384754180908,5.271159932017326
135,135,4.981981873512268,1.6523293107748032,4.929900366812944
136,136,4.961331740021706,1.6875319927930832,5.344451412558556
137,137,4.971622750163078,1.6494570076465607,4.929819166660309
138,138,4.924121409654617,1.6595611274242401,5.132861267775297
139,139,4.927830621600151,1.6094439625740051,5.111233163625002
140,140,4.904872953891754,1.626247987151146,4.921987861394882
141,141,4.903706222772598,1.6444091945886612,4.986466534435749
142,142,4.8922549188137054,1.6296197474002838,5.033861257135868
143,143,4.871990501880646,1.6567686796188354,4.9188499972224236
144,144,4.849915236234665,1.6660737693309784,4.906293727457523
145,145,4.854869455099106,1.6548721641302109,5.288441106677055
146,146,4.84615558385849,1.6270683258771896,5.063922684639692
147,147,4.8349364548921585,1.6698985397815704,5.33732158318162
148,148,4.8331466764211655,1.6247730404138565,4.893289055675268
149,149,4.80492976307869,1.6125053465366364,4.893339663743973
150,150,4.774345010519028,1.6051632314920425,4.910023182630539
151,151,4.77905336022377,1.6570091992616653,4.677731268107891
152,152,4.759702533483505,1.5543114989995956,4.9521454609930515
153,153,4.768199920654297,1.6248141676187515,5.217242445796728
154,154,4.763861045241356,1.60807266831398,5.167412560433149
155,155,4.723772302269936,1.6057043373584747,5.116554755717516
156,156,4.731999889016151,1.5750657618045807,4.897218316793442
157,157,4.7280789613723755,1.6496747583150864,5.171414960175753
158,158,4.721107199788094,1.5853371620178223,4.91106915101409
159,159,4.6867845505476,1.638825610280037,4.813323721289635
160,160,4.660449922084808,1.638427585363388,5.048859227448702
161,161,4.661019653081894,1.675284057855606,4.875487085431814
162,162,4.652585446834564,1.545182690024376,5.090794526040554
163,163,4.646177351474762,1.590580940246582,4.74480277299881
164,164,4.605921447277069,1.5904787927865982,5.137007251381874
165,165,4.627499341964722,1.5939563661813736,5.109743174165487
166,166,4.5997235625982285,1.5692131370306015,5.0781408324837685
167,167,4.590533748269081,1.5697251856327057,4.842378795146942
168,168,4.6002416759729385,1.5308717489242554,4.936215795576572
169,169,4.590131878852844,1.5482703298330307,4.957391764968634
170,170,4.562977626919746,1.5981969684362411,4.867011126130819
171,171,4.560151159763336,1.6288055777549744,4.981351010501385
172,172,4.536303818225861,1.5347780138254166,4.966310519725084
173,173,4.550243154168129,1.5634834170341492,4.908873222768307
174,174,4.557988733053207,1.5919226855039597,4.658567383885384
175,175,4.523749306797981,1.6210498809814453,4.513375032693148
176,176,4.50698085129261,1.5642217099666595,4.787586152553558
177,177,4.521381452679634,1.5704456269741058,4.868303503841162
178,178,4.483858242630959,1.5348902344703674,4.662393666803837
179,179,4.521343320608139,1.6529007107019424,5.04235852509737
180,180,4.498896956443787,1.5704605281352997,5.01718882843852
181,181,4.466012716293335,1.5895952433347702,5.015613071620464
182,182,4.469034597277641,1.5273754447698593,4.886719044297934
183,183,4.452352732419968,1.5974065065383911,5.200943537056446
184,184,4.452253356575966,1.5041190385818481,4.632799655199051
185,185,4.420918047428131,1.5580090880393982,4.6711520701646805
186,186,4.439509749412537,1.5582488030195236,4.794259134680033
187,187,4.438517510890961,1.6186551749706268,4.84198222309351
188,188,4.441478833556175,1.5842497646808624,4.775683179497719
189,189,4.4156975001096725,1.605324387550354,4.779415100812912
190,190,4.378157839179039,1.5419531464576721,4.766101609915495
191,191,4.37971493601799,1.602270022034645,4.6332287937402725
192,192,4.404724895954132,1.5216207951307297,4.800389461219311
193,193,4.389296531677246,1.4697682112455368,4.775516834110022
194,194,4.363431945443153,1.5242192298173904,4.779942952096462
195,195,4.341906040906906,1.5817494988441467,5.007399175316095
196,196,4.36568808555603,1.5776803493499756,4.634038496762514
197,197,4.339583724737167,1.5484098196029663,4.7117618806660175
198,198,4.339019671082497,1.5241817086935043,4.904267553240061
199,199,4.338795647025108,1.578382357954979,4.855192422866821
